"";"oid";"B1";"B2";"B3";"B4";"B5";"B6";"B7";"sensor";"date";"areosols"
"1";153220120;372;594;517;997;850;293;549;"L4";1988-05-15;"medium"
"2";153230040;286;423;275;803;402;294,7;282;"L4";1988-05-15;"medium"
"3";153230050;397;582;440;2094;1395;294,7;658;"L4";1988-05-15;"medium"
"4";154220070;330;535;364;1085;800;291,7;360;"L4";1988-05-15;"medium"
"5";154220080;241;335;232;485;298;293,9;208;"L4";1988-05-15;"medium"
"6";154230020;279;338;236;368;245;295,6;95;"L4";1988-05-15;"medium"
"7";153230040;490;508;377;1289;698;292,1;311;"L4";1989-06-03;"high"
"8";153230050;490;637;448;2244;1100;292,6;502;"L4";1989-06-03;"high"
"9";154220070;530;679;442;2055;729;290;196;"L4";1989-06-03;"high"
"10";154220080;489;605;383;1045;298;291,7;119;"L4";1989-06-03;"high"
"11";154230020;494;553;413;871;297;292,6;196;"L4";1989-06-03;"high"
"14";154220080;649;718;550;880;277;295,1;135;"L4";1992-07-13;"medium"
"16";153230040;550;552;482;1588;598;291,3;382;"L4";1992-07-29;"medium"
"17";153230050;570;594;589;2357;1051;291,7;546;"L4";1992-07-29;"medium"
"22";154220020;688;823;692;2714;1858;293,9;978;"L4";1992-08-30;"high"
"25";153210130;294;387;378;636;453;292,6;245;"L4";1988-05-15;"medium"
"26";153210200;370;469;344;1242;745;290,8;397;"L4";1988-05-15;"medium"
"27";153220050;344;517;352;839;560;291,7;206;"L4";1988-05-15;"medium"
"28";153220120;395;635;517;1080;904;293;587;"L4";1988-05-15;"medium"
"29";153220190;354;483;458;639;558;295,1;433;"L4";1988-05-15;"medium"
"30";153230040;261;364;259;759;374;294,3;282;"L4";1988-05-15;"medium"
"31";153230050;374;565;459;2184;1426;294,7;698;"L4";1988-05-15;"medium"
"32";153210100;675;706;502;1464;674;290;389;"L4";1989-06-03;"high"
"33";153220050;541;685;477;1152;420;290,4;151;"L4";1989-06-03;"high"
"34";153220120;557;665;539;1419;533;290,4;350;"L4";1989-06-03;"high"
"35";153220190;549;717;620;1415;510;292,6;234;"L4";1989-06-03;"high"
"36";153230040;474;465;378;1163;617;292,1;272;"L4";1989-06-03;"high"
"37";153230050;474;635;448;2449;1207;293;579;"L4";1989-06-03;"high"
"39";153220190;577;683;629;1218;667;296;376;"L4";1992-07-13;"medium"
"40";153220050;508;621;576;1114;540;291,3;300;"L4";1992-07-29;"medium"
"41";153230040;540;542;474;1539;566;291,3;381;"L4";1992-07-29;"medium"
"42";153230050;559;585;582;2394;1047;291,7;584;"L4";1992-07-29;"medium"
"46";153200140;318;536;355;884;323;292,6;143;"L4";1988-08-10;"medium"
"47";153210130;344;512;371;2022;985;293;473;"L4";1988-08-10;"medium"
"48";153220050;351;584;364;533;209;292,6;184;"L4";1988-08-10;"medium"
"49";153220120;275;460;366;1181;523;292,6;226;"L4";1988-08-10;"medium"
"50";154210040;290;371;254;446;238;293,4;102;"L4";1988-08-10;"medium"
"51";154210060;369;501;399;1673;845;292,1;393;"L4";1988-08-10;"medium"
"52";154220020;443;679;583;3204;2069;292,6;927;"L4";1988-08-10;"medium"
