"ID";"name";"lake"
151160030;"Radzyñ";"Jez. S³awskie"
152140030;"Przyjezierze";"Jez. Morzycko"
152150060;"Prze³azy";"Jez. Nies³ysz"
152170140;"Powidz";"Jez. Powidzkie"
152180080;"Kruszwica";"Jez. Gop³o"
153150060;"Iñsko";"Jez. Iñsko"
153150140;"Lubieszewo";"Jez. Lubie"
153150160;"Wyspa Pokrzywka";"Jez. Ostrowite"
153160040;"Czaplinek";"Jez. Drawsko"
153160050;"Sikory";"Jez. Komorze"
153160060;"Nakielno";"Jez. Betyñ Wielki"
153170020;"Buntowo";"Jez. S³awianowskie"
153170080;"Charzykowy";"Jez. Charzykowskie"
153170090;"Sêpólno Krajeñskie";"Jez. Sêpoleñskie"
153170130;"Jeziorna";"Jez. Wdzydze"
153190070;"Bachotek";"Jez. Bachotek"
153190080;"I³awa";"Jez. Jeziorak"
153200140;"Dadaj";"Jez. Dadaj"
153210100;"Ruciane-Nida";"Jez. Nidzkie"
153210110;"Miko³ajki";"Jez. Miko³ajskie"
153210130;"G³odowo";"Jez. Œniardwy"
153210200;"Maldanin";"Jez. Roœ"
153220050;"E³k";"Jez. E³ckie"
153220120;"Sordachy";"Jez. Selmêt Wielki"
153220190;"Rajgród";"Jez. Rajgrodzkie"
153230040;"PrzewiêŸ";"Jez. Bia³e Augustowskie"
153230050;"PrzewiêŸ";"Jez. Studzieniczne"
154160010;"Unieœcie";"Jez. Jamno"
154170050;"Gardna Wielka";"Jez. Gardno"
154170090;"Izbica";"Jez. £ebsko"
154170140;"Jasieñ";"Jez. Jasieñ Pd."
154170190;"Borucino";"Jez. Raduñskie Górne"
154210040;"Kronowo";"Jez. Dejguny"
154210060;"Przystañ";"Jez. Mamry"
154220020;"Borki";"Jez. Litygajno"
154220070;"Wólka";"Jez. Rospuda Filipowska"
154220080;"Wróbel";"Jez. Hañcza"
154230020;"Wigry";"Jez. Wigry"
