system:index,oid,B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity
LT05_186022_19951027_37,154230020,722.0,726.0,516.0,591.0,351.0,2771.0,145.0,62.0
LT05_186023_19860511_25,153230040,638.0,721.0,547.0,1374.0,725.0,2883.0,288.0,539.0
LT05_186023_19860511_26,153230050,662.0,772.0,549.0,1187.0,666.0,2893.0,456.0,536.0
LT05_186023_19860527_25,153230040,420.0,428.0,313.0,985.0,395.0,2906.0,241.0,293.0
LT05_186023_19860527_26,153230050,440.0,511.0,350.0,1193.0,505.0,2929.0,358.0,292.0
LT05_186023_19860612_25,153230040,455.0,530.0,402.0,1182.0,580.0,2920.0,236.0,578.0
LT05_186023_19860612_26,153230050,455.0,576.0,402.0,1318.0,608.0,2929.0,360.0,578.0
LT05_186023_19860730_25,153230040,567.0,600.0,362.0,902.0,415.0,2924.0,213.0,518.0
LT05_186023_19860730_26,153230050,614.0,649.0,489.0,1768.0,782.0,2929.0,430.0,518.0
LT05_186023_19890503_25,153230040,302.0,448.0,282.0,687.0,571.0,2855.0,339.0,102.0
LT05_186023_19890503_26,153230050,322.0,489.0,354.0,1267.0,682.0,2874.0,339.0,101.0
LT05_186023_19890519_26,153230050,386.0,544.0,447.0,1470.0,724.0,2915.0,396.0,144.0
LT05_186023_19890706_25,153230040,244.0,294.0,234.0,923.0,352.0,2938.0,131.0,144.0
LT05_186023_19890706_26,153230050,263.0,448.0,334.0,1561.0,621.0,2951.0,284.0,144.0
LT05_186023_19890807_25,153230040,448.0,406.0,240.0,959.0,380.0,2874.0,224.0,221.0
LT05_186023_19890807_26,153230050,490.0,581.0,431.0,1447.0,852.0,2879.0,476.0,221.0
LT05_186023_19890823_25,153230040,767.0,819.0,536.0,1343.0,572.0,2902.0,288.0,287.0
LT05_186023_19890823_26,153230050,745.0,819.0,663.0,1491.0,800.0,2902.0,381.0,287.0
LT05_186023_19890908_25,153230040,252.0,252.0,112.0,563.0,312.0,2869.0,217.0,246.0
LT05_186023_19890908_26,153230050,304.0,467.0,345.0,1263.0,771.0,2874.0,266.0,246.0
LT05_186023_19890924_25,153230040,493.0,492.0,339.0,642.0,356.0,2879.0,191.0,285.0
LT05_186023_19890924_26,153230050,525.0,622.0,504.0,1589.0,927.0,2883.0,364.0,286.0
LT05_186023_19920511_26,153230050,609.0,745.0,659.0,1347.0,853.0,2786.0,484.0,205.0
LT05_186023_19920628_25,153230040,361.0,484.0,316.0,1022.0,477.0,2920.0,204.0,192.0
LT05_186023_19920628_26,153230050,425.0,655.0,521.0,1619.0,851.0,2942.0,393.0,192.0
LT05_186023_19920714_25,153230040,717.0,788.0,585.0,1407.0,578.0,2911.0,290.0,286.0
LT05_186023_19920714_26,153230050,694.0,879.0,694.0,1493.0,635.0,2915.0,410.0,286.0
LT05_186023_19920730_25,153230040,363.0,425.0,296.0,1186.0,512.0,2897.0,258.0,230.0
LT05_186023_19920730_26,153230050,409.0,519.0,445.0,1445.0,741.0,2906.0,258.0,230.0
LT05_186023_19920831_25,153230040,638.0,646.0,532.0,1444.0,786.0,2938.0,307.0,384.0
LT05_186023_19920831_26,153230050,668.0,707.0,532.0,1114.0,575.0,2947.0,157.0,384.0
LT05_186023_19940602_25,153230040,396.0,464.0,369.0,1024.0,638.0,2831.0,355.0,155.0
LT05_186023_19940602_26,153230050,417.0,592.0,437.0,1886.0,823.0,2846.0,467.0,155.0
LT05_186023_19950824_25,153230040,771.0,661.0,477.0,948.0,379.0,2915.0,94.0,578.0
LT05_186023_19950824_26,153230050,803.0,859.0,631.0,1988.0,1098.0,2924.0,451.0,578.0
LT05_186023_19990803_25,153230040,821.0,786.0,563.0,1110.0,435.0,2924.0,123.0,509.0
LT05_186023_19990803_26,153230050,742.0,890.0,645.0,1715.0,1000.0,2933.0,459.0,510.0
LT05_186023_19991022_25,153230040,308.0,276.0,274.0,329.0,81.0,2771.0,190.0,48.0
LT05_186023_19991022_26,153230050,521.0,535.0,610.0,1592.0,1290.0,2766.0,700.0,48.0
LT05_186023_20070521_25,153230040,312.0,434.0,245.0,826.0,371.0,2920.0,166.0,182.0
LT05_186023_20070521_26,153230050,375.0,519.0,414.0,1385.0,692.0,2933.0,432.0,181.0
LT05_186023_20101004_25,153230040,236.0,208.0,173.0,305.0,60.0,2831.0,-23.0,77.0
LT05_186023_20101004_26,153230050,268.0,208.0,173.0,245.0,60.0,2826.0,33.0,77.0
LT05_186023_20110921_25,153230040,206.0,185.0,119.0,540.0,237.0,2860.0,134.0,109.0
LT05_186023_20110921_26,153230050,294.0,363.0,308.0,1976.0,1015.0,2869.0,451.0,108.0
LT05_187022_19840410_23,153220120,1536.0,1550.0,1407.0,1359.0,812.0,2831.0,620.0,287.0
LT05_187022_19840410_25,153230040,1264.0,1287.0,1136.0,1254.0,810.0,2826.0,525.0,287.0
LT05_187022_19840410_26,153230050,1335.0,1389.0,1268.0,1604.0,1203.0,2846.0,991.0,286.0
LT05_187022_19840410_34,154220020,1410.0,1513.0,1463.0,1773.0,2076.0,2841.0,1754.0,286.0
