system:index,oid,B1,B2,B3,B4,B5,B6,B7,B10,B11,sr_aerosol
LC08_186023_20150425_26,153230050,306.0,311.0,320.0,194.0,218.0,112.0,99.0,2883.0,2865.0,132.0
LC08_187022_20130731_24,153220190,126.0,172.0,275.0,149.0,137.0,74.0,52.0,2928.0,2901.0,132.0
LC08_187022_20130731_34,154220020,146.0,171.0,218.0,132.0,222.0,129.0,57.0,2930.0,2906.0,164.0
LC08_187022_20130816_25,153230040,232.0,323.0,473.0,193.0,143.0,65.0,46.0,2913.0,2888.0,132.0
LC08_187022_20130816_26,153230050,200.0,266.0,404.0,182.0,164.0,44.0,41.0,2915.0,2890.0,132.0
LC08_187022_20130816_34,154220020,325.0,289.0,306.0,166.0,95.0,114.0,52.0,2916.0,2893.0,68.0
LC08_187022_20130816_35,154220070,236.0,279.0,399.0,168.0,174.0,82.0,51.0,2914.0,2890.0,132.0
LC08_187022_20130816_36,154220080,157.0,177.0,226.0,94.0,184.0,82.0,56.0,2909.0,2892.0,164.0
LC08_187022_20130816_37,154230020,130.0,172.0,251.0,108.0,111.0,49.0,33.0,2914.0,2890.0,132.0
LC08_187022_20130901_34,154220020,146.0,159.0,174.0,100.0,265.0,99.0,99.0,2882.0,2867.0,164.0
LC08_187022_20130901_35,154220070,393.0,484.0,660.0,343.0,285.0,231.0,169.0,2880.0,2860.0,132.0
LC08_187022_20130901_37,154230020,114.0,121.0,135.0,62.0,124.0,89.0,70.0,2889.0,2859.0,164.0
LC08_187022_20131019_24,153220190,297.0,321.0,375.0,287.0,315.0,254.0,204.0,2796.0,2785.0,100.0
LC08_187022_20131019_25,153230040,137.0,168.0,187.0,131.0,176.0,123.0,83.0,2799.0,2789.0,100.0
LC08_187022_20131019_26,153230050,119.0,178.0,208.0,138.0,146.0,175.0,152.0,2798.0,2786.0,100.0
LC08_187022_20131019_36,154220080,118.0,137.0,145.0,85.0,115.0,87.0,59.0,2808.0,2798.0,68.0
LC08_187022_20131019_37,154230020,77.0,108.0,124.0,80.0,79.0,49.0,26.0,2814.0,2801.0,68.0
LC08_187022_20140515_34,154220020,287.0,307.0,362.0,273.0,558.0,301.0,244.0,2824.0,2805.0,164.0
LC08_187022_20140531_24,153220190,66.0,138.0,278.0,166.0,259.0,147.0,119.0,2894.0,2867.0,164.0
LC08_187022_20140531_25,153230040,241.0,295.0,364.0,190.0,305.0,202.0,166.0,2869.0,2839.0,164.0
LC08_187022_20140531_26,153230050,265.0,296.0,305.0,202.0,248.0,208.0,152.0,2881.0,2852.0,100.0
LC08_187022_20140616_23,153220120,242.0,223.0,261.0,149.0,138.0,94.0,57.0,2888.0,2867.0,68.0
LC08_187022_20140616_34,154220020,166.0,160.0,196.0,85.0,70.0,53.0,56.0,2898.0,2877.0,68.0
LC08_187022_20140702_25,153230040,328.0,507.0,800.0,286.0,65.0,39.0,38.0,2904.0,2880.0,132.0
LC08_187022_20140702_26,153230050,196.0,251.0,360.0,163.0,140.0,86.0,87.0,2905.0,2882.0,132.0
LC08_187022_20140702_35,154220070,138.0,180.0,283.0,85.0,79.0,61.0,46.0,2889.0,2869.0,132.0
LC08_187022_20140718_24,153220190,433.0,535.0,919.0,620.0,837.0,432.0,234.0,2938.0,2908.0,164.0
LC08_187022_20140718_25,153230040,126.0,225.0,397.0,150.0,358.0,136.0,72.0,2926.0,2901.0,164.0
LC08_187022_20140718_26,153230050,197.0,284.0,428.0,266.0,768.0,330.0,195.0,2930.0,2901.0,164.0
LC08_187022_20140718_35,154220070,305.0,370.0,509.0,245.0,543.0,192.0,117.0,2920.0,2898.0,164.0
LC08_187022_20140803_22,153220050,268.0,337.0,537.0,310.0,198.0,99.0,74.0,2975.0,2955.0,68.0
LC08_187022_20140803_23,153220120,177.0,240.0,406.0,286.0,259.0,110.0,73.0,2969.0,2949.0,68.0
LC08_187022_20140803_24,153220190,200.0,283.0,538.0,326.0,199.0,83.0,57.0,2979.0,2961.0,68.0
LC08_187022_20140803_25,153230040,146.0,230.0,354.0,141.0,166.0,78.0,55.0,2980.0,2960.0,100.0
LC08_187022_20140803_26,153230050,190.0,268.0,379.0,195.0,214.0,107.0,65.0,2988.0,2967.0,100.0
LC08_187022_20140803_34,154220020,218.0,249.0,322.0,194.0,191.0,128.0,68.0,2980.0,2962.0,68.0
LC08_187022_20140803_35,154220070,261.0,315.0,442.0,218.0,247.0,134.0,87.0,2969.0,2953.0,100.0
LC08_187022_20140803_36,154220080,221.0,257.0,310.0,184.0,370.0,146.0,84.0,2971.0,2953.0,100.0
LC08_187022_20140803_37,154230020,248.0,347.0,548.0,292.0,233.0,91.0,59.0,2977.0,2957.0,68.0
LC08_187022_20140819_25,153230040,173.0,242.0,330.0,147.0,180.0,90.0,55.0,2907.0,2888.0,100.0
LC08_187022_20140819_26,153230050,359.0,460.0,460.0,384.0,898.0,461.0,322.0,2905.0,2879.0,100.0
LC08_187022_20140819_35,154220070,252.0,281.0,329.0,138.0,75.0,71.0,40.0,2901.0,2879.0,68.0
LC08_187022_20140819_36,154220080,209.0,292.0,389.0,175.0,222.0,81.0,58.0,2900.0,2878.0,100.0
LC08_187022_20140904_26,153230050,190.0,198.0,222.0,91.0,130.0,41.0,38.0,2880.0,2867.0,164.0
LC08_187022_20140904_34,154220020,312.0,270.0,268.0,129.0,99.0,84.0,71.0,2887.0,2871.0,132.0
LC08_187022_20140904_35,154220070,235.0,190.0,153.0,44.0,52.0,41.0,32.0,2878.0,2864.0,132.0
LC08_187022_20140920_22,153220050,277.0,304.0,426.0,265.0,229.0,97.0,68.0,2879.0,2857.0,132.0
LC08_187022_20140920_25,153230040,398.0,454.0,495.0,406.0,997.0,601.0,502.0,2854.0,2821.0,228.0
LC08_187022_20140920_34,154220020,74.0,122.0,225.0,111.0,73.0,48.0,50.0,2889.0,2867.0,132.0
LC08_187022_20140920_35,154220070,137.0,201.0,316.0,151.0,192.0,104.0,60.0,2877.0,2854.0,132.0
LC08_187022_20140920_36,154220080,106.0,160.0,243.0,109.0,252.0,100.0,57.0,2873.0,2851.0,164.0
LC08_187022_20140920_37,154230020,247.0,272.0,286.0,171.0,252.0,90.0,52.0,2863.0,2841.0,164.0
LC08_187022_20150502_22,153220050,55.0,116.0,277.0,147.0,47.0,52.0,56.0,2846.0,2834.0,132.0
LC08_187022_20150502_35,154220070,206.0,192.0,177.0,74.0,96.0,53.0,40.0,2818.0,2806.0,132.0
LC08_187022_20150603_23,153220120,48.0,76.0,172.0,65.0,101.0,37.0,33.0,2914.0,2895.0,164.0
LC08_187022_20150705_22,153220050,300.0,352.0,650.0,381.0,274.0,117.0,92.0,2973.0,2948.0,132.0
LC08_187022_20150705_23,153220120,194.0,217.0,294.0,175.0,317.0,113.0,67.0,2973.0,2949.0,164.0
LC08_187022_20150705_24,153220190,220.0,329.0,644.0,358.0,261.0,87.0,57.0,2981.0,2960.0,132.0
LC08_187022_20150705_34,154220020,612.0,659.0,732.0,601.0,1477.0,620.0,308.0,2971.0,2942.0,164.0
LC08_187022_20150705_35,154220070,565.0,695.0,957.0,520.0,720.0,275.0,149.0,2960.0,2934.0,164.0
LC08_187022_20150705_37,154230020,398.0,484.0,716.0,411.0,601.0,322.0,234.0,2925.0,2903.0,164.0
LC08_187022_20150721_22,153220050,1.0,38.0,218.0,79.0,13.0,21.0,26.0,2920.0,2898.0,132.0
LC08_187022_20150721_23,153220120,1.0,64.0,236.0,114.0,339.0,78.0,42.0,2916.0,2893.0,164.0
LC08_187022_20150721_24,153220190,125.0,261.0,555.0,299.0,231.0,133.0,111.0,2903.0,2880.0,132.0
LC08_187022_20150721_25,153230040,95.0,211.0,380.0,94.0,45.0,31.0,32.0,2913.0,2892.0,132.0
LC08_187022_20150721_26,153230050,23.0,100.0,184.0,42.0,35.0,50.0,31.0,2917.0,2895.0,132.0
LC08_187022_20150721_35,154220070,523.0,571.0,693.0,416.0,450.0,327.0,267.0,2875.0,2855.0,164.0
LC08_187022_20150721_36,154220080,105.0,149.0,226.0,43.0,74.0,54.0,43.0,2908.0,2889.0,164.0
LC08_187022_20150806_25,153230040,180.0,252.0,362.0,166.0,258.0,120.0,79.0,2965.0,2947.0,164.0
LC08_187022_20150806_26,153230050,196.0,244.0,316.0,161.0,235.0,135.0,82.0,2975.0,2955.0,164.0
LC08_187022_20150806_35,154220070,468.0,590.0,844.0,395.0,323.0,138.0,86.0,2965.0,2945.0,132.0
LC08_187022_20150806_36,154220080,256.0,309.0,401.0,201.0,402.0,152.0,90.0,2966.0,2946.0,164.0
LC08_187022_20150806_37,154230020,212.0,316.0,545.0,273.0,332.0,160.0,107.0,2957.0,2942.0,164.0
LC08_187022_20150822_24,153220190,221.0,271.0,428.0,247.0,175.0,81.0,51.0,2932.0,2906.0,68.0
LC08_187022_20150822_36,154220080,129.0,175.0,252.0,103.0,199.0,112.0,71.0,2932.0,2901.0,100.0
LC08_187022_20150822_37,154230020,196.0,237.0,287.0,146.0,161.0,72.0,51.0,2927.0,2894.0,100.0
LC08_187022_20160402_24,153220190,371.0,416.0,494.0,449.0,591.0,523.0,456.0,2749.0,2743.0,100.0
LC08_187022_20160402_26,153230050,265.0,290.0,352.0,303.0,465.0,384.0,308.0,2770.0,2758.0,100.0
LC08_187022_20160402_35,154220070,304.0,359.0,467.0,404.0,552.0,533.0,461.0,2754.0,2743.0,164.0
LC08_187022_20160402_36,154220080,152.0,205.0,267.0,243.0,375.0,428.0,362.0,2771.0,2766.0,164.0
LC08_187022_20160402_37,154230020,-35.0,18.0,83.0,24.0,25.0,66.0,61.0,2783.0,2775.0,132.0
LC08_187022_20160504_22,153220050,214.0,250.0,400.0,224.0,104.0,58.0,51.0,2873.0,2861.0,68.0
LC08_187022_20160504_34,154220020,290.0,272.0,275.0,171.0,96.0,88.0,84.0,2877.0,2863.0,68.0
LC08_187022_20160504_37,154230020,147.0,162.0,187.0,82.0,54.0,39.0,32.0,2874.0,2864.0,68.0
LC08_187022_20160520_22,153220050,530.0,540.0,667.0,463.0,392.0,172.0,128.0,2876.0,2862.0,68.0
LC08_187022_20160520_35,154220070,192.0,235.0,317.0,173.0,351.0,177.0,129.0,2880.0,2866.0,100.0
LC08_187022_20160520_36,154220080,108.0,136.0,196.0,90.0,214.0,101.0,72.0,2880.0,2864.0,100.0
LC08_187022_20160520_37,154230020,200.0,220.0,296.0,164.0,192.0,97.0,70.0,2876.0,2861.0,100.0
LC08_187022_20160605_22,153220050,323.0,385.0,707.0,438.0,250.0,176.0,147.0,2945.0,2930.0,68.0
LC08_187022_20160605_24,153220190,171.0,220.0,374.0,213.0,123.0,95.0,71.0,2950.0,2931.0,68.0
LC08_187022_20160605_25,153230040,108.0,160.0,232.0,98.0,108.0,64.0,39.0,2930.0,2916.0,100.0
LC08_187022_20160605_26,153230050,81.0,120.0,152.0,67.0,36.0,79.0,56.0,2937.0,2922.0,68.0
LC08_187022_20160605_34,154220020,141.0,155.0,231.0,133.0,104.0,52.0,42.0,2934.0,2919.0,68.0
LC08_187022_20160605_35,154220070,218.0,255.0,349.0,186.0,232.0,135.0,111.0,2933.0,2917.0,100.0
LC08_187022_20160605_36,154220080,162.0,183.0,219.0,140.0,239.0,155.0,124.0,2935.0,2914.0,96.0
LC08_187022_20160605_37,154230020,156.0,236.0,450.0,207.0,126.0,60.0,38.0,2939.0,2919.0,68.0
LC08_187022_20160808_22,153220050,177.0,186.0,338.0,189.0,104.0,49.0,40.0,2926.0,2908.0,68.0
LC08_187022_20160808_23,153220120,152.0,181.0,335.0,191.0,122.0,42.0,27.0,2923.0,2905.0,68.0
LC08_187022_20160808_24,153220190,186.0,300.0,595.0,307.0,128.0,40.0,28.0,2929.0,2910.0,68.0
LC08_187022_20160808_25,153230040,225.0,304.0,408.0,204.0,278.0,160.0,111.0,2899.0,2878.0,100.0
LC08_187022_20160808_26,153230050,214.0,258.0,317.0,182.0,239.0,170.0,133.0,2900.0,2879.0,100.0
LC08_187022_20160808_34,154220020,186.0,222.0,333.0,179.0,97.0,54.0,53.0,2924.0,2904.0,68.0
LC08_187022_20160808_35,154220070,223.0,297.0,465.0,224.0,125.0,86.0,54.0,2920.0,2899.0,68.0
LC08_187022_20160808_36,154220080,110.0,127.0,175.0,66.0,126.0,67.0,40.0,2920.0,2901.0,100.0
