system:index,oid,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10
LC08_186023_20150425_26,153230050,7811.0,7958.0,8243.0,7789.0,8150.0,7812.0,7583.0,41244.0
LC08_187022_20130731_24,153220190,7339.0,7593.0,8323.0,7848.0,8192.0,7661.0,7525.0,43310.0
LC08_187022_20130731_25,153230040,7493.0,8146.0,9145.0,8044.0,8377.0,7772.0,7681.0,42661.0
LC08_187022_20130731_34,154220020,7837.0,7894.0,8123.0,7795.0,7927.0,7574.0,7448.0,43185.0
LC08_187022_20130731_36,154220080,6820.0,7058.0,7646.0,7109.0,7430.0,7511.0,7491.0,42779.0
LC08_187022_20130816_25,153230040,7859.0,8267.0,8934.0,7943.0,7810.0,7525.0,7441.0,42566.0
LC08_187022_20130816_26,153230050,8086.0,8297.0,8810.0,8007.0,7693.0,7541.0,7454.0,42643.0
LC08_187022_20130816_34,154220020,7684.0,7730.0,8098.0,7649.0,7668.0,7465.0,7479.0,42627.0
LC08_187022_20130816_35,154220070,7856.0,8074.0,8654.0,7854.0,7855.0,7613.0,7473.0,42649.0
LC08_187022_20130816_36,154220080,7839.0,7911.0,8171.0,7684.0,7959.0,7624.0,7495.0,42524.0
LC08_187022_20130816_37,154230020,8045.0,8118.0,8321.0,7810.0,7789.0,7485.0,7406.0,42747.0
LC08_187022_20130901_34,154220020,7470.0,7590.0,7824.0,7589.0,7770.0,7710.0,7530.0,41340.0
LC08_187022_20130901_35,154220070,8145.0,8635.0,9529.0,8414.0,8264.0,8066.0,7871.0,41291.0
LC08_187022_20130901_37,154230020,7326.0,7400.0,7582.0,7369.0,7651.0,7585.0,7527.0,41743.0
LC08_187022_20131019_24,153220190,7574.0,7856.0,8330.0,8046.0,8293.0,8175.0,8027.0,38544.0
LC08_187022_20131019_25,153230040,7770.0,7839.0,7916.0,7724.0,7888.0,7705.0,7553.0,38667.0
LC08_187022_20131019_26,153230050,7635.0,7789.0,7861.0,7658.0,7760.0,7757.0,7590.0,38626.0
LC08_187022_20131019_34,154220020,7780.0,8200.0,8910.0,8892.0,10084.0,9472.0,9036.0,37596.0
LC08_187022_20131019_36,154220080,7585.0,7671.0,7763.0,7544.0,7691.0,7588.0,7488.0,38937.0
LC08_187022_20131019_37,154230020,7478.0,7601.0,7695.0,7518.0,7561.0,7452.0,7387.0,39129.0
LC08_187022_20140515_34,154220020,7692.0,7848.0,8285.0,8015.0,9104.0,8354.0,8106.0,39614.0
LC08_187022_20140531_23,153220120,8067.0,8313.0,9253.0,8788.0,11779.0,10258.0,9407.0,41515.0
LC08_187022_20140531_24,153220190,7294.0,7574.0,8284.0,7881.0,8337.0,7877.0,7745.0,42142.0
LC08_187022_20140531_25,153230040,8084.0,8272.0,8567.0,7966.0,8366.0,7989.0,7856.0,41120.0
LC08_187022_20140531_26,153230050,7961.0,8119.0,8346.0,7960.0,8457.0,7879.0,7768.0,41570.0
LC08_187022_20140616_23,153220120,7556.0,7569.0,7940.0,7520.0,7578.0,7595.0,7470.0,41772.0
LC08_187022_20140616_34,154220020,7857.0,7842.0,7936.0,7595.0,7699.0,7509.0,7437.0,41943.0
LC08_187022_20140616_35,154220070,7803.0,7986.0,8528.0,7727.0,7968.0,7496.0,7424.0,41666.0
LC08_187022_20140702_25,153230040,7762.0,8575.0,9903.0,8010.0,7318.0,7396.0,7401.0,42393.0
LC08_187022_20140702_26,153230050,8319.0,8464.0,8746.0,8020.0,7710.0,7737.0,7678.0,42460.0
LC08_187022_20140702_35,154220070,7691.0,7862.0,8328.0,7638.0,7742.0,7502.0,7439.0,41890.0
LC08_187022_20140718_22,153220050,7327.0,8113.0,9974.0,9005.0,10213.0,8894.0,8472.0,41982.0
LC08_187022_20140718_24,153220190,7316.0,8084.0,10244.0,9229.0,11396.0,9721.0,8599.0,44125.0
LC08_187022_20140718_25,153230040,7917.0,8245.0,8868.0,8000.0,8786.0,7823.0,7576.0,43160.0
LC08_187022_20140718_26,153230050,8129.0,8384.0,8914.0,8264.0,9829.0,8595.0,8086.0,43754.0
LC08_187022_20140718_34,154220020,5408.0,7187.0,11431.0,10941.0,16642.0,14752.0,11986.0,42052.0
LC08_187022_20140718_35,154220070,7424.0,7735.0,8667.0,7599.0,8891.0,7846.0,7686.0,42611.0
LC08_187022_20140803_22,153220050,7896.0,8243.0,9134.0,8333.0,7990.0,7644.0,7547.0,44472.0
LC08_187022_20140803_23,153220120,8234.0,8366.0,8897.0,8429.0,8525.0,7741.0,7566.0,44345.0
LC08_187022_20140803_24,153220190,7565.0,7979.0,9127.0,8410.0,8646.0,7757.0,7540.0,44611.0
LC08_187022_20140803_25,153230040,7967.0,8216.0,8637.0,7890.0,7949.0,7585.0,7480.0,44515.0
LC08_187022_20140803_26,153230050,7894.0,8179.0,8597.0,7941.0,7957.0,7572.0,7511.0,44769.0
LC08_187022_20140803_34,154220020,7847.0,8025.0,8380.0,7975.0,8196.0,7645.0,7544.0,44445.0
LC08_187022_20140803_35,154220070,8030.0,8267.0,8820.0,8012.0,8313.0,7743.0,7572.0,44028.0
LC08_187022_20140803_36,154220080,7367.0,7662.0,8209.0,7715.0,8507.0,7782.0,7575.0,44202.0
LC08_187022_20140803_37,154230020,7920.0,8345.0,9190.0,8286.0,8128.0,7631.0,7502.0,44384.0
LC08_187022_20140819_25,153230040,7577.0,7919.0,8380.0,7740.0,7994.0,7595.0,7482.0,42361.0
LC08_187022_20140819_26,153230050,9229.0,9840.0,9455.0,9217.0,11939.0,9340.0,8808.0,42755.0
LC08_187022_20140819_35,154220070,7767.0,7952.0,8308.0,7656.0,7595.0,7475.0,7417.0,42239.0
LC08_187022_20140819_36,154220080,7674.0,8121.0,8668.0,7853.0,8268.0,7620.0,7528.0,42150.0
LC08_187022_20140904_26,153230050,7845.0,7872.0,8033.0,7553.0,7449.0,7429.0,7460.0,41304.0
LC08_187022_20140904_34,154220020,7543.0,7568.0,7786.0,7387.0,7513.0,7460.0,7475.0,41545.0
LC08_187022_20140904_35,154220070,7658.0,7562.0,7587.0,7216.0,7379.0,7392.0,7383.0,41289.0
LC08_187022_20140920_22,153220050,7897.0,8042.0,8675.0,8115.0,8067.0,7628.0,7515.0,41636.0
LC08_187022_20140920_25,153230040,8289.0,8521.0,9070.0,8734.0,10948.0,9762.0,9357.0,41060.0
LC08_187022_20140920_26,153230050,8301.0,8471.0,8910.0,8560.0,10316.0,9410.0,8941.0,40932.0
LC08_187022_20140920_34,154220020,7442.0,7594.0,8000.0,7626.0,7747.0,7539.0,7397.0,41875.0
LC08_187022_20140920_35,154220070,7729.0,7938.0,8412.0,7842.0,8031.0,7619.0,7506.0,41513.0
LC08_187022_20140920_36,154220080,7714.0,7921.0,8359.0,7843.0,8366.0,7684.0,7488.0,41433.0
LC08_187022_20140920_37,154230020,7374.0,7581.0,8000.0,7644.0,8073.0,7603.0,7462.0,41048.0
LC08_187022_20150502_22,153220050,7422.0,7689.0,8355.0,7927.0,7571.0,7485.0,7467.0,40058.0
LC08_187022_20150502_23,153220120,3250.0,3966.0,5884.0,5395.0,6052.0,7322.0,7544.0,38380.0
LC08_187022_20150502_24,153220190,7675.0,8424.0,9553.0,9450.0,11658.0,10927.0,10114.0,39869.0
LC08_187022_20150502_37,154230020,2027.0,3306.0,6578.0,6224.0,8367.0,9106.0,8596.0,39543.0
LC08_187022_20150603_23,153220120,8107.0,8075.0,8221.0,7833.0,7907.0,7491.0,7412.0,42847.0
LC08_187022_20150603_35,154220070,4641.0,5547.0,7822.0,7100.0,9900.0,9619.0,8997.0,42100.0
LC08_187022_20150705_22,153220050,7899.0,8204.0,9520.0,8558.0,8241.0,7717.0,7605.0,45072.0
LC08_187022_20150705_23,153220120,8184.0,8235.0,8481.0,8100.0,9198.0,7809.0,7558.0,45191.0
LC08_187022_20150705_24,153220190,7576.0,8079.0,9442.0,8459.0,8956.0,7698.0,7562.0,45455.0
LC08_187022_20150705_25,153230040,8007.0,8307.0,8798.0,8001.0,8571.0,7941.0,7742.0,44179.0
LC08_187022_20150705_34,154220020,8509.0,8613.0,9907.0,9129.0,12682.0,9767.0,8781.0,45055.0
LC08_187022_20150705_35,154220070,8112.0,8848.0,10271.0,8721.0,9597.0,8175.0,7805.0,44335.0
LC08_187022_20150705_37,154230020,8113.0,8563.0,9653.0,8576.0,9391.0,8468.0,8129.0,43091.0
LC08_187022_20150721_22,153220050,7366.0,7517.0,8135.0,7679.0,7454.0,7397.0,7380.0,42972.0
LC08_187022_20150721_23,153220120,7903.0,7992.0,8470.0,7982.0,8570.0,7716.0,7485.0,42847.0
LC08_187022_20150721_24,153220190,7348.0,7964.0,9238.0,8426.0,9463.0,8026.0,7753.0,42321.0
LC08_187022_20150721_25,153230040,8007.0,8323.0,8831.0,7842.0,7617.0,7450.0,7399.0,42601.0
LC08_187022_20150721_26,153230050,7859.0,8027.0,8219.0,7694.0,7561.0,7410.0,7424.0,42721.0
LC08_187022_20150721_35,154220070,6967.0,7582.0,8963.0,7878.0,8588.0,8327.0,8185.0,41133.0
LC08_187022_20150721_36,154220080,7446.0,7635.0,8096.0,7345.0,7421.0,7415.0,7423.0,42463.0
LC08_187022_20150806_23,153220120,7815.0,8142.0,9082.0,8425.0,9315.0,8435.0,7915.0,43321.0
