"Lake";"Test set";"MBE LM [K]";"MBE RF [K]";"RMSE LM [K]";"RMSE RF [K]";"COR LM";"COR RF";"SD LM [K]";"SD RF [K]"
"Jez. S³awskie";"x";-0,4;-1;1,55;1,68;0,96;0,97;5,06;5,02
"Jez. Morzycko";"";-0,67;-0,27;1,85;0,7;0,95;0,99;4,77;5,11
"Jez. Nies³ysz";"";0,51;-0,05;2,51;0,85;0,88;0,99;4,85;4,87
"Jez. Powidzkie";"x";0,93;0,64;2,49;1,71;0,92;0,97;4,97;5,19
"Jez. Gop³o";"";1,86;0,55;3,54;1,25;0,84;0,98;5,23;4,92
"Jez. Iñsko";"";-0,39;-0,1;1,68;0,44;0,95;1;4,45;4,96
"Jez. Lubie";"";-0,25;-0,11;2,2;0,68;0,92;0,99;4,69;5,27
"Jez. Ostrowite";"";-1,05;-0,49;3,02;0,81;0,84;0,99;4,91;4,93
"Jez. Drawsko";"";0,27;0,31;2,31;0,76;0,9;0,99;4,8;5,15
"Jez. Komorze";"";-0,72;-0,31;2,32;0,66;0,9;0,99;4,63;4,91
"Jez. Betyñ Wielki";"";-0,43;0,03;2,03;0,6;0,92;0,99;4,54;4,93
"Jez. S³awianowskie";"";0,18;-0,05;2,39;0,66;0,92;1;4,99;5,66
"Jez. Charzykowskie";"";-0,51;-0,29;1,78;0,66;0,95;0,99;5,14;5,53
"Jez. Sêpoleñskie";"x";-0,16;-0,39;1,75;1,51;0,95;0,97;5,12;5,33
"Jez. Wdzydze";"";0,7;0,1;2,32;0,7;0,94;0,99;5,26;5,89
"Jez. Bachotek";"";-1,48;-0,52;2,49;0,87;0,93;0,99;4,92;5,27
"Jez. Jeziorak";"";1,03;0,09;3,19;0,91;0,86;0,99;5,47;5,37
"Jez. Dadaj";"x";-0,7;-0,47;2,08;1,75;0,93;0,95;4,93;4,9
"Jez. Nidzkie";"x";1,05;0,52;3,48;2,05;0,78;0,91;5,08;4,44
"Jez. Miko³ajskie";"";-0,56;-0,12;1,83;0,55;0,96;1;5,12;5,51
"Jez. Œniardwy";"x";-0,56;-0,29;2,09;1,94;0,92;0,92;4,91;4,54
"Jez. Roœ";"";-0,28;-0,03;1,22;0,57;0,97;0,99;4,76;4,86
"Jez. E³ckie";"x";-0,44;-0,5;1,8;1,41;0,94;0,97;4,73;5,13
"Jez. Selmêt Wielki";"";-0,11;-0,03;1,95;0,54;0,93;1;5;5,31
"Jez. Rajgrodzkie";"";0,24;0,18;2,19;0,65;0,92;0,99;5,24;5,4
"Jez. Bia³e Augustowskie";"";-1,2;-0,33;2,62;0,73;0,86;0,99;4,37;4,35
"Jez. Studzieniczne";"x";-0,49;-0,28;2,39;1,46;0,89;0,96;4,69;4,6
"Jez. Jamno";"";0,85;0,25;1,75;0,61;0,94;0,99;4,31;4,47
"Jez. Gardno";"";0,28;0,32;2,1;0,68;0,89;0,99;4,24;4,33
"Jez. £ebsko";"";0,86;0,09;2,19;0,77;0,91;0,99;4,31;4,82
"Jez. Jasieñ Pd.";"";-0,04;0,13;2,24;0,68;0,92;0,99;4,7;5,39
"Jez. Raduñskie Górne";"";1,56;0,58;2,32;0,83;0,96;1;5,36;5,89
"Jez. Dejguny";"";-0,31;0,1;1,68;0,61;0,96;1;5,25;5,45
"Jez. Mamry";"x";-1,33;-0,69;1,95;1,52;0,95;0,96;4,43;4,49
"Jez. Litygajno";"";-0,75;-0,2;2,15;0,52;0,92;1;4,76;4,91
"Jez. Rospuda Filipowska";"";-0,08;0,2;2,52;0,92;0,89;0,99;4,45;5,1
"Jez. Hañcza";"x";1,42;1,56;3,45;2,87;0,84;0,91;5,08;4,84
"Jez. Wigry";"";-0,33;-0,09;1,9;0,53;0,94;1;5,22;5,37
